,# correlated features
PF3D7_1113700.e1s1_4142,1
PF3D7_1113000.iso1.exon2.amp1_1889,1
PF3D7_1112300.e1_3432,1
PF3D7_1107800.e2s1_3853,1
PF3D7_1106300.2o6_4027,1
PF3D7_1102800.iso1.exon1.amp1_671,1
PF3D7_1036300.1o1_2407,1
PF3D7_1035900.1o1_1406,1
PF3D7_1035300.iso1.exon1.amp2_3364,1
PF3D7_1035300.iso1.exon1.amp1_2847,1
PF3D7_1035100.1o1_4004,1
PF3D7_1034200.1o1_3933,1
PF3D7_1031900.4o5_424,1
PF3D7_1030200.1o1_93,1
PF3D7_1028400.1o1_2363,1
PF3D7_1025500.e2s1_1249,1
PF3D7_1025400.12o13_376,1
PF3D7_1024000.iso1.exon1.amp1_1314,1
PF3D7_1017300.1.2o2_2385,1
PF3D7_1016600.2o2_1688,1
PF3D7_1014300.e1s3_2214,1
PF3D7_1013400.iso1.exon9.amp1_3307,1
PF3D7_1006000.iso1.exon2.amp1_1866,1
PF3D7_1004200.e2s2_1571,1
PF3D7_1003800.e1s2_3506,1
PF3D7_1003200.1o2_3602,1
PF3D7_1002100.2o2_2704,1
PF3D7_1001700.2o2_4910,1
PF3D7_0937000.2o2_1996,1
PF3D7_0936700.1o1_2674,1
