,# correlated features
PF3D7_1403100.e4s2_3726,1
PF3D7_1402400.1o1_3330,1
PF3D7_1368800.e1s1_1263,1
PF3D7_1366200.1o1_2951,1
PF3D7_1365300.1o1_777,1
PF3D7_1364200.e1s2_3538,1
PF3D7_1364200.e1s1_1912,1
PF3D7_1359600.iso1.exon1.amp2_3422,1
PF3D7_1350700.1o1_1087,1
PF3D7_1348800.2o4_3719,1
PF3D7_1348400.iso1.exon2.amp1_1215,1
PF3D7_1339600.e1s1_5124,1
PF3D7_1330700.1o8_1397,1
PF3D7_1329500.iso1.exon1.amp2_3671,1
PF3D7_1328200.iso1.exon3.amp1_4145,1
PF3D7_1328200.iso1.exon1.amp2_seg1_277,1
PF3D7_1327500.iso1.exon3.amp1_2160,1
PF3D7_1300800.iso1.exon3.amp1_3282,1
PF3D7_1255200.iso1.exon1.amp1_3324,1
PF3D7_1249800.e1s3_2236,1
PF3D7_1243900.iso1.exon6.amp1_4142,1
PF3D7_1241400.iso1.exon1.amp2_seg2_276,1
PF3D7_1239400.1o1_677,1
PF3D7_1231900.iso1.exon1.amp2_199,1
PF3D7_1227200.iso1.exon1.amp2_815,1
PF3D7_1223600.e1_1175,1
PF3D7_1217600.1o1_710,1
PF3D7_1206900.4o4_2705,1
PF3D7_1202300.e3s2_3847,1
PF3D7_1138400.e1s4_1269,1
PF3D7_1134300.iso1.exon1.amp2_4583,1
PF3D7_1125800.1o4_2368,1
PF3D7_1125300.iso1.exon1.amp2_3352,1
PF3D7_1124100.iso1.exon1.amp1_1988,1
PF3D7_1123200.iso1.exon1.amp1_3335,1
PF3D7_1122700.1o1_372,1
PF3D7_1106300.2o6_4027,1
PF3D7_1035900.1o1_1406,1
PF3D7_1035300.iso1.exon1.amp2_3364,1
PF3D7_1035300.iso1.exon1.amp1_2847,1
PF3D7_1020700.e1s2_4159,1
PF3D7_1015900.e2s1_1233,1
PF3D7_0921900.iso1.exon1.amp1_3281,1
PF3D7_0900500.iso1.exon1.amp1_4464,1
PF3D7_0821300.iso1.exon3.amp1_3898,1
PF3D7_0815500.3o5_2688,1
PF3D7_0811700.iso1.exon1.amp2_seg1_2589,1
PF3D7_0807100.iso1.exon1.amp2_3363,1
PF3D7_0800300.e2s1_4780,1
PF3D7_0731200.2o2_4270,1
PF3D7_0726100.2o2_2403,1
PF3D7_0712000.iso1.exon1.amp1_145,1
PF3D7_0703700.e1s1_4460,1
PF3D7_0628100.iso1.exon1.amp9_1961,1
PF3D7_0628100.iso1.exon1.amp6_2244,1
PF3D7_0628100.iso1.exon1.amp5_1955,1
PF3D7_0532500.2o2_997,1
PF3D7_0519300.1o1_4973,1
PF3D7_0500100.iso1.exon2.amp1_1299,1
PF3D7_0315400.1o1_3943,1
PF3D7_0220400.2o3_4961,1
PF3D7_0212100.e1s2_1265,1
PF3D7_0210200.iso1.exon2.amp2_seg1_2597,1
PF3D7_0206900.1.e1_4416,1
