,# correlated features
PF3D7_1465800.e3s1_2535,2
PF3D7_1462600.2o2_4959,2
PF3D7_1462400.e1s2_1268,2
PF3D7_1461900.e1s2_5117,2
PF3D7_1461400.2o4_1355,2
PF3D7_1460800.1o1_1732,2
PF3D7_1460100.1o1_4266,2
PF3D7_1458700.1o1_719,2
PF3D7_1457900.e1s1_2894,2
PF3D7_1457500.1o1_3651,2
PF3D7_1457400.iso1.exon1.amp4_755,2
PF3D7_1456800.1o1_4017,2
PF3D7_1456500.s2_191,2
PF3D7_1455700.1o2_153,2
PF3D7_1455300.e1s1_4478,2
PF3D7_1454900.1o1_3916,2
PF3D7_1454200.s2_1496,2
PF3D7_1454200.s1_1814,2
PF3D7_1453400.iso1.exon1.amp1_4016,2
PF3D7_1452600.iso1.exon1.amp1_2820,2
PF3D7_1451900.e1s1_1548,2
PF3D7_1450400.iso1.exon1.amp1_3403,2
PF3D7_1449900.1o1_394,2
PF3D7_1449000.e3_2790,2
PF3D7_1447800.e1s2_2899,2
PF3D7_1447800.e1s1_3223,2
PF3D7_1447700.1o1_4277,2
PF3D7_1446100.iso1.exon2.amp1_3034,2
PF3D7_1446100.iso1.exon1.amp1_974,2
PF3D7_1445600.e4_4738,2
PF3D7_1444100.e6s1_4483,2
PF3D7_1443900.1o1_4032,2
PF3D7_1443800.1o1_3332,2
PF3D7_1442300.e2s1_4148,2
PF3D7_1441700.iso1.exon1.amp1_3909,2
PF3D7_1441300.e5s1_931,2
PF3D7_1439700.5o6_63,2
PF3D7_1437400.1o1_1105,2
PF3D7_1433800.iso1.exon1.amp2_529,2
PF3D7_1433400.e1_4423,2
PF3D7_1433100.iso1.exon2.amp1_450,2
PF3D7_1430200.2o8_756,2
PF3D7_1429100.1o1_4327,2
PF3D7_1426800.iso1.exon1.amp1_4156,2
PF3D7_1419400.e3s1_4118,2
PF3D7_1416600.e1s4_4488,2
PF3D7_1414700.s2_4407,2
PF3D7_1408700.e2s2_1896,2
PF3D7_1407000.e1s1_4485,2
PF3D7_1406400.1o1_3017,2
PF3D7_1401300.2o2_742,2
PF3D7_1369000.5o5_4018,2
PF3D7_1368800.e1s1_1263,2
PF3D7_1364100.1o1_4029,2
PF3D7_1356200.2o2_1000,2
PF3D7_1353900.e1s1_2828,2
PF3D7_1348800.2o4_3719,2
PF3D7_1347700.1o3_1088,2
PF3D7_1346900.1o1_1992,2
PF3D7_1346400.e1s3_505,2
PF3D7_1343500.1o4_717,2
PF3D7_1340300.iso1.exon1.amp1_4497,2
PF3D7_1336800.1o1_2991,2
PF3D7_1334500.2o2_2710,2
PF3D7_1333200.s2_820,2
PF3D7_1329500.iso1.exon1.amp2_3671,2
PF3D7_1329100.e3s3_5138,2
PF3D7_1328500.e1s1_899,2
PF3D7_1328300.1o3_1680,2
PF3D7_1324700.1o2_1664,2
PF3D7_1324600.iso1.exon2.amp2_3061,2
PF3D7_1321900.1o1_2654,2
PF3D7_1316900.iso1.exon1.amp1_3925,2
PF3D7_1300300.e2s1_4149,2
PF3D7_1227200.iso1.exon1.amp2_815,2
PF3D7_1226700.1o1_1738,2
PF3D7_1215900.1o1_1409,2
PF3D7_1208800.e1s1_2209,2
PF3D7_1144900.4o4_2636,2
PF3D7_1125700.6o6_3360,2
PF3D7_1100800.2o2_370,2
PF3D7_1036400.e2s2_2150,2
PF3D7_1020700.e1s2_4159,2
PF3D7_0826100.s7_4077,2
PF3D7_0811100.1o1_1077,2
PF3D7_0808200.e1s1_5118,2
PFL2215w_4059,1
PFE1590w_2119,1
PFC10_API0032.iso1.exon1.amp1_1175,1
PFC10_API0014.iso1.exon1.amp1_short_1174,1
PFC0700c_2438,1
PFC0210c_2763,1
PFB0690w_4058,1
PFB0300c_4064,1
PFA0350c_4054,1
PFA0270c_1142,1
PF3D7_1479500.iso1.exon2.amp1_3581,1
PF3D7_1479400.iso1.exon2.amp1_140,1
PF3D7_1478100.2o2_4908,1
PF3D7_1477900.1o3_4022,1
PF3D7_1477700.2o2_3945,1
PF3D7_1477300.iso1.exon1.amp1_620,1
PF3D7_1476100.1o1_1649,1
PF3D7_1475400.e2s2_1145,1
PF3D7_1475000.1o1_3596,1
PF3D7_1474400.iso1.exon5.amp1_2085,1
PF3D7_1474400.iso1.exon15.amp1_4083,1
PF3D7_1474000.iso1.exon1.amp3_3078,1
PF3D7_1474000.iso1.exon1.amp2_1115,1
PF3D7_1472900.e1s1_4466,1
PF3D7_1472600.2o4_1405,1
PF3D7_1472500.iso1.exon1.amp1_2649,1
PF3D7_1472200.e1s3_5059,1
PF3D7_1472200.e1s1_4087,1
PF3D7_1472000.iso1.exon4.amp1_1241,1
PF3D7_1471800.1o1_1020,1
PF3D7_1471600.iso1.exon1.amp2_2504,1
PF3D7_1471500.6o6_387,1
PF3D7_1470800.iso1.exon2.amp2_4265,1
PF3D7_1470800.iso1.exon1.amp1_3209,1
PF3D7_1470200.2o3_1653,1
PF3D7_1469800.3o3_369,1
PF3D7_1469700.iso1.exon1.amp1_3290,1
PF3D7_1469600.e1s3_1163,1
PF3D7_1469600.e1s1_515,1
PF3D7_1469400.1o1_82,1
PF3D7_1469100.1o1_1993,1
PF3D7_1468400.1o1_2724,1
PF3D7_1468300.iso1.exon2.amp1_2138,1
PF3D7_1468100.e2s1_832,1
PF3D7_1468000.e8s2_4424,1
PF3D7_1468000.e3_3120,1
PF3D7_1468000.e10_2795,1
PF3D7_1466900.iso1.exon2.amp1_506,1
PF3D7_1466800.1o1_3053,1
PF3D7_1466400.e1s1_288,1
PF3D7_1465800.e5s4_1267,1
PF3D7_1465800.e2s1_4446,1
PF3D7_1465700.iso1.exon5.amp1_1494,1
PF3D7_1465200.1o1_3968,1
PF3D7_1464600.iso1.exon2.amp1_3586,1
PF3D7_1464500.iso1.exon1.amp3_212,1
PF3D7_1464000.e1s1_1904,1
PF3D7_1463300.e1s1_2848,1
PF3D7_1463200.e2s1_3817,1
PF3D7_1462800.e2_3112,1
PF3D7_1462400.e1s3_944,1
PF3D7_1462400.e1s1_4179,1
PF3D7_1462300.e1s1_277,1
PF3D7_1461800.e1s1_4187,1
PF3D7_1461200.iso1.exon3.amp1_115,1
PF3D7_1461100.3o3_448,1
PF3D7_1461000.1o5_2364,1
PF3D7_1460700.e2s1_1855,1
PF3D7_1459000.1o1_1101,1
PF3D7_1458900.3o3_1990,1
PF3D7_1458600.iso1.exon1.amp2_2215,1
PF3D7_1458500.iso1.exon1.amp2_3125,1
PF3D7_1458400.1o1_706,1
PF3D7_1458300.iso1.exon3.amp1_3543,1
PF3D7_1458100.iso1.exon1.amp1_1196,1
PF3D7_1457900.e1s4_4190,1
PF3D7_1457700.e1s1_5129,1
PF3D7_1456400.iso1.exon1.amp1_2473,1
PF3D7_1456100.1o1_2680,1
PF3D7_1455800.e2s1_3185,1
PF3D7_1455800.e1s1_4116,1
PF3D7_1455400.1o2_2642,1
PF3D7_1455000.iso1.exon1.amp1_1834,1
PF3D7_1454800.1o1_1978,1
PF3D7_1454300.iso1.exon1.amp1_2179,1
PF3D7_1453700.e2s1_4455,1
PF3D7_1453600.iso1.exon2.amp1_4552,1
PF3D7_1453100.1o1_4654,1
PF3D7_1452800.2o4_1661,1
PF3D7_1452600.iso1.exon1.amp2_3109,1
PF3D7_1452300.1o1_4278,1
PF3D7_1452000.s3_517,1
PF3D7_1452000.s1_2461,1
PF3D7_1451900.e1s2_2190,1
PF3D7_1451600.e2s1_3860,1
PF3D7_1451000.1o1_459,1
PF3D7_1450900.3o3_3325,1
PF3D7_1450800.1o1_4290,1
PF3D7_1450400.iso1.exon2.amp1_1022,1
PF3D7_1450400.iso1.exon1.amp2_1326,1
PF3D7_1449400.e2s2_4093,1
PF3D7_1448700.1o1_384,1
PF3D7_1448500.e1s3_616,1
PF3D7_1448500.e1s1_940,1
PF3D7_1448400.2o2_449,1
PF3D7_1448300.s1_3431,1
PF3D7_1448200.13o14_2079,1
PF3D7_1448100.1o1_3931,1
PF3D7_1446800.e2s1_5085,1
PF3D7_1446700.1o8_3927,1
PF3D7_1446700.1o2_4895,1
PF3D7_1446300.iso1.exon1.amp2_3943,1
PF3D7_1445900.e2s1_3479,1
PF3D7_1445900.e1s1_2203,1
PF3D7_1445700.e3s1_2825,1
PF3D7_1445300.e1_2803,1
PF3D7_1445000.1o1_3980,1
PF3D7_1444200.2o3_3278,1
PF3D7_1444100.e9s3_4492,1
PF3D7_1444100.e9s2_4174,1
PF3D7_1444100.e8s2_3547,1
PF3D7_1444100.e3s1_5095,1
PF3D7_1444100.e1s1_2498,1
PF3D7_1444000.iso1.exon4.amp1_1516,1
PF3D7_1443100.1o1_4971,1
PF3D7_1442700.e2s1_620,1
PF3D7_1442000.1o2_3924,1
PF3D7_1441600.1o1_1082,1
PF3D7_1441300.e5s3_2551,1
PF3D7_1441300.e3s1_1201,1
PF3D7_1441200.e2_2789,1
PF3D7_1441100.1o1_1660,1
PF3D7_1440600.iso1.exon8.amp1_3240,1
PF3D7_1440400.iso1.exon2.amp2_seg2_3467,1
PF3D7_1440300.4o6_2994,1
PF3D7_1440200.3o6_4036,1
PF3D7_1440100.iso1.exon1.amp2_1067,1
PF3D7_1440000.iso1.exon5.amp3_225,1
PF3D7_1440000.iso1.exon5.amp1_797,1
PF3D7_1439700.6o6_2337,1
PF3D7_1439000.2o2_2957,1
PF3D7_1439000.1o2_2633,1
PF3D7_1438800.4o4_4982,1
PF3D7_1438600.1o1_1677,1
PF3D7_1438500.1o1_2728,1
PF3D7_1437100.iso1.exon1.amp1_2686,1
PF3D7_1436600.5o5_455,1
PF3D7_1436400.e2_4425,1
PF3D7_1436100.iso1.exon1.amp1_813,1
PF3D7_1435700.1.e3s1_5077,1
PF3D7_1435600.iso1.exon1.amp2_3929,1
PF3D7_1435600.iso1.exon1.amp1_1126,1
PF3D7_1435300.e1s4_280,1
PF3D7_1435300.e1s3_2873,1
PF3D7_1435300.e1s1_3521,1
PF3D7_1435000.1o1_4294,1
PF3D7_1434700.1o1_3598,1
PF3D7_1434600.e1s1_1562,1
PF3D7_1434500.e2s4_1919,1
PF3D7_1434500.e2s3_2243,1
PF3D7_1433400.e2s3_3098,1
PF3D7_1433200.iso1.exon1.amp1_534,1
PF3D7_1432900.e1s1_4778,1
PF3D7_1432600.iso1.exon1.amp2_480,1
PF3D7_1432500.iso1.exon1.amp1_3600,1
PF3D7_1432100.e4s1_1520,1
PF3D7_1430700.3o3_4964,1
PF3D7_1430500.1o1_2345,1
PF3D7_1429600.1o1_1341,1
PF3D7_1429500.1o1_4675,1
PF3D7_1428700.1o1_1372,1
PF3D7_1428200.1o1_4984,1
PF3D7_1427300.iso1.exon1.amp1_1946,1
PF3D7_1427200.1o2_4564,1
PF3D7_1426800.iso1.exon2.amp2_seg2_4322,1
PF3D7_1426200.1o1_1387,1
PF3D7_1425900.2o4_3959,1
PF3D7_1423700.e1s1_610,1
PF3D7_1423200.2o8_4943,1
PF3D7_1422700.e1s2_1891,1
PF3D7_1422700.e1s1_2539,1
PF3D7_1422200.iso1.exon1.amp1_122,1
PF3D7_1421400.2o5_718,1
PF3D7_1420900.2o2_3650,1
PF3D7_1420800.iso1.exon2.amp1_3797,1
PF3D7_1420400.e1s1_2897,1
PF3D7_1419600.e4s1_2814,1
PF3D7_1419400.e1s2_1898,1
PF3D7_1417400.1o3_3041,1
PF3D7_1414900.iso1.exon1.amp2_3654,1
PF3D7_1414800.e1s1_3456,1
PF3D7_1414700.s1_848,1
PF3D7_1413800.1o1_3978,1
PF3D7_1412900.iso1.exon7.amp1_1540,1
PF3D7_1411200.1o4_1093,1
PF3D7_1410400.e1s1_2878,1
