,# correlated features
PF3D7_1132400.1o1_4913,1
PF3D7_1123000.iso1.exon1.amp1_3137,1
PF3D7_1122500.iso1.exon1.amp2_4229,1
PF3D7_1122500.iso1.exon1.amp1_3721,1
PF3D7_1121600.iso1.exon2.amp1_2679,1
PF3D7_1102800.iso1.exon1.amp1_671,1
PF3D7_1102600.2o2_3620,1
PF3D7_1102500.e2s1_905,1
PF3D7_1102500.e1s1_2477,1
PF3D7_1102300.2o2_707,1
PF3D7_1101300.iso1.exon1.amp1_2434,1
PF3D7_1100300.iso1.exon2.amp1_4474,1
PF3D7_1100200.e1s3_1597,1
PF3D7_1100100.iso1.exon2.amp1_1582,1
PF3D7_1100100.iso1.exon1.amp2_3684,1
PF3D7_1040100.iso1.exon2.amp1_3299,1
PF3D7_1040000.iso1.exon2.amp1_1585,1
PF3D7_1038700.2o2_4597,1
PF3D7_1038600.2o2_3987,1
PF3D7_1038500.2o2_403,1
PF3D7_1038400.e3s1_3151,1
PF3D7_1036400.e2s2_2150,1
PF3D7_1036400.1o2_1668,1
PF3D7_1036300.1o1_2407,1
PF3D7_1036000.1o1_739,1
PF3D7_1035700.e1s1_4814,1
PF3D7_1035200.1o1_117,1
PF3D7_1028700.1o1_4309,1
PF3D7_1028200.1o1_4269,1
PF3D7_1025400.2o3_1100,1
PF3D7_1025400.1o13_2320,1
PF3D7_1025400.12o13_376,1
PF3D7_1023100.e1s6_1457,1
PF3D7_1023000.1o1_740,1
PF3D7_1022300.2o6_385,1
PF3D7_1022200.e5s1_5099,1
PF3D7_1022200.e2s1_565,1
PF3D7_1021900.e1s3_1572,1
PF3D7_1021900.e1s1_1242,1
PF3D7_1021700.e3s1_4120,1
PF3D7_1021700.e2s3_3519,1
PF3D7_1021700.e2s1_3525,1
PF3D7_1021700.e1s3_3848,1
PF3D7_1021700.e1s2_2552,1
PF3D7_1021300.1o2_1350,1
PF3D7_1019500.1.6o25_1727,1
PF3D7_1016500.e2s1_4172,1
PF3D7_1014100.s1_841,1
PF3D7_1012700.e1s1_3765,1
PF3D7_1011500.1o1_3275,1
PF3D7_1008100.s4_830,1
PF3D7_1008100.s3_1478,1
PF3D7_1008100.s1_3428,1
PF3D7_1005800.1o2_2638,1
PF3D7_1004200.e2s2_1571,1
PF3D7_1003600.e1s1_4785,1
PF3D7_1002000.2o2_1714,1
PF3D7_1001700.2o2_4910,1
PF3D7_1001300.2o2_1681,1
PF3D7_1001000.e2s1_3804,1
PF3D7_1000200.iso1.exon1.amp1_1575,1
PF3D7_1000100.iso1.exon2.amp1_3908,1
PF3D7_0937000.2o2_1996,1
PF3D7_0936900.3o3_2328,1
PF3D7_0936800.e2s1_901,1
PF3D7_0936600.2o2_2012,1
PF3D7_0936400.2o2_4899,1
PF3D7_0936300.2o2_3948,1
PF3D7_0936100.1o1_353,1
PF3D7_0935900.e2s1_5133,1
PF3D7_0935900.e1s1_4430,1
PF3D7_0935700.2o2_2960,1
PF3D7_0935600.1o2_3662,1
PF3D7_0932100.2o5_5018,1
PF3D7_0930800.e2s4_4067,1
PF3D7_0930300.s2_4726,1
PF3D7_0930300.s1_5044,1
PF3D7_0927200.e4s2_279,1
PF3D7_0924500.1o4_4376,1
PF3D7_0921200.2o6_4038,1
PF3D7_0912200.1o1_2676,1
PF3D7_0911300.e1s4_2454,1
PF3D7_0911300.e1s1_3426,1
PF3D7_0908100.1o4_1046,1
PF3D7_0903300.iso1.exon1.amp4_1038,1
PF3D7_0903300.iso1.exon1.amp1_2545,1
PF3D7_0901800.2o2_4591,1
PF3D7_0901000.iso1.exon1.amp1_3010,1
PF3D7_0900600.iso1.exon1.amp1_424,1
PF3D7_0900200.e2s1_4790,1
PF3D7_0833300.iso1.exon1.amp1_1870,1
PF3D7_0832500.iso1.exon3.amp1_1861,1
PF3D7_0832300.2o2_3619,1
PF3D7_0831400.2o2_4281,1
PF3D7_0831100.iso1.exon1.amp2_3348,1
PF3D7_0831100.iso1.exon1.amp1_3674,1
PF3D7_0831000.2o2_735,1
PF3D7_0830800.iso1.exon1.amp1_1373,1
PF3D7_0830600.2o2_1704,1
PF3D7_0829600.1o1_4565,1
PF3D7_0829000.e2s2_3445,1
PF3D7_0827700.1o1_786,1
PF3D7_0823500.1o1_1393,1
PF3D7_0822200.2o4_4377,1
PF3D7_0820600.2o3_3648,1
PF3D7_0820600.1o3_1374,1
PF3D7_0818100.1o1_104,1
PF3D7_0812100.e1s3_4191,1
PF3D7_0808900.iso1.exon1.amp1_4458,1
PF3D7_0808800.iso1.exon1.amp1_3594,1
PF3D7_0806200.9o10_5006,1
PF3D7_0806200.10o10_4040,1
PF3D7_0804500.e3_3113,1
PF3D7_0804500.e2s3_200,1
PF3D7_0804500.e2s2_842,1
PF3D7_0804500.e1s4_2765,1
PF3D7_0804500.e1s1_826,1
PF3D7_0800700.e3s1_1253,1
PF3D7_0800400.iso1.exon3.amp1_128,1
PF3D7_0800300.e2s1_4780,1
PF3D7_0800300.e1s1_4837,1
PF3D7_0800200.e2s1_1226,1
PF3D7_0800200.e1s3_2882,1
PF3D7_0800200.e1s2_2888,1
PF3D7_0733000.iso1.exon2.amp3_1942,1
PF3D7_0732700.iso1.exon2.amp1_712,1
PF3D7_0731700.2o2_4903,1
PF3D7_0731500.s1 (renamed)_3434,1
PF3D7_0731200.2o2_4270,1
PF3D7_0730900.e2s1_4490,1
PF3D7_0730900.e1s1_4112,1
PF3D7_0728600.iso1.exon3.amp1_2396,1
PF3D7_0728100.s6_189,1
PF3D7_0728100.s1_2127,1
PF3D7_0726400.e6s2_275,1
PF3D7_0726400.e6s1_4482,1
PF3D7_0726400.e5s1_1866,1
PF3D7_0726400.e4s1_619,1
PF3D7_0726400.e3s1_4799,1
PF3D7_0726400.e1s3_4193,1
PF3D7_0726100.2o2_2403,1
PF3D7_0725100.e2s1_4117,1
PF3D7_0725100.e1s1_917,1
PF3D7_0721000.iso1.exon2.amp1_204,1
PF3D7_0721000.iso1.exon1.amp2_2247,1
PF3D7_0719500.1o2_3982,1
PF3D7_0718700.1o1_1050,1
PF3D7_0718300.e7s1_4189,1
PF3D7_0718300.e6s1_4456,1
PF3D7_0718300.e5s1_3811,1
PF3D7_0718300.e4s1_217,1
PF3D7_0718300.e3s1_1191,1
PF3D7_0713900.e1s3_1278,1
PF3D7_0712800.iso1.exon2.amp1_1655,1
PF3D7_0712800.iso1.exon1.amp1_3904,1
PF3D7_0712300.iso1.exon1.amp1_3615,1
PF3D7_0712000.iso1.exon1.amp1_145,1
PF3D7_0711700.e2s1_898,1
PF3D7_0711700.e1s1_2573,1
PF3D7_0709900.e3_1179,1
PF3D7_0709900.e2_3096,1
PF3D7_0709900.e1s2_4418,1
PF3D7_0709900.3o3_4362,1
PF3D7_0704300.s1_2457,1
PF3D7_0704100.iso1.exon1.amp3_1683,1
PF3D7_0703700.e1s1_4460,1
PF3D7_0703500.e2s3_4496,1
PF3D7_0702300.2o2_3022,1
PF3D7_0701000.1o1_1322,1
PF3D7_0700200.iso1.exon3.amp1_994,1
PF3D7_0632500.iso1.exon2.amp4_seg2_4605,1
PF3D7_0632500.iso1.exon2.amp3_492,1
PF3D7_0632500.iso1.exon2.amp1_1064,1
PF3D7_0632500.iso1.exon1.amp1_3326,1
PF3D7_0632300.iso1.exon2.amp1_423,1
PF3D7_0632100.iso1.exon1.amp1_705,1
PF3D7_0630600.2o2_4033,1
PF3D7_0625500.1o1_2662,1
PF3D7_0619800.iso1.exon1.amp3_747,1
PF3D7_0618400.1o5_753,1
PF3D7_0614900.3o3_4051,1
PF3D7_0614900.2o3_5017,1
PF3D7_0611000.2o3_1027,1
PF3D7_0609000.iso1.exon1.amp1_3985,1
PF3D7_0602300.1o1_4592,1
PF3D7_0601100.2o2_688,1
PF3D7_0600500.iso1.exon2.amp1_130,1
PF3D7_0532600.2o2_675,1
PF3D7_0532500.2o2_997,1
PF3D7_0532400.e1s1_542,1
PF3D7_0532300.e1s1_4107,1
PF3D7_0525800.e1s1_2193,1
PF3D7_0525000.1o1_3692,1
PF3D7_0502200.2o2_1379,1
PF3D7_0501200.e2_3453,1
PF3D7_0501000.e2s1_563,1
PF3D7_0500100.iso1.exon2.amp1_1299,1
PF3D7_0425800.iso1.exon2.amp1_4183,1
PF3D7_0425400.2o2_46,1
PF3D7_0425200.2o2_1012,1
PF3D7_0425100.2o2_3932,1
PF3D7_0424800.2o2_2002,1
PF3D7_0424600.e2s1_4454,1
PF3D7_0424400.iso1.exon1.amp1_1890,1
PF3D7_0423700.1o1_2294,1
PF3D7_0422100 (renamed)_2667,1
PF3D7_0421200.iso1.exon2.amp1_3312,1
PF3D7_0420900.iso1.exon1.amp1_4190,1
PF3D7_0420000.s4_190,1
PF3D7_0420000.s2_1486,1
PF3D7_0419700.1o1_3942,1
PF3D7_0419500.1o1_747,1
PF3D7_0412900.iso1.exon1.amp1_435,1
PF3D7_0412700.iso1.exon2.amp2_1081,1
PF3D7_0412700.iso1.exon1.amp1_2752,1
PF3D7_0412400.iso1.exon1.amp1_3330,1
PF3D7_0405900.e4s1_1223,1
PF3D7_0405900.e3s1_2496,1
PF3D7_0405600.2o9_1676,1
PF3D7_0402400.2o2_48,1
PF3D7_0402000 (renamed)_4939,1
PF3D7_0401200.iso1.exon2.amp1_2164,1
PF3D7_0401000.iso1.exon1.amp1_2432,1
PF3D7_0400400.iso1.exon1.amp1_1294,1
PF3D7_0324900.iso1.exon2.amp1_2239,1
PF3D7_0315800.1o1_3967,1
PF3D7_0315400.1o1_3943,1
PF3D7_0315200.iso1.exon1.amp2_537,1
PF3D7_0315200.iso1.exon1.amp1_248,1
PF3D7_0305300.1o3_1765,1
PF3D7_0304100.1o1_2697,1
PF3D7_0301800.2o2_4915,1
PF3D7_0301700.e1s1_3787,1
PF3D7_0301600.2o2_3050,1
PF3D7_0301500.2o2_2005,1
PF3D7_0301400.2o2_47,1
PF3D7_0301100.2o2_4909,1
PF3D7_0300700.iso1.exon2.amp1_3592,1
PF3D7_0223400.iso1.exon2.amp1_1856,1
PF3D7_0223300.iso1.exon2.amp1_3611,1
PF3D7_0223300 (renamed)_2205,1
PF3D7_0222900.1o1_25,1
PF3D7_0222500.iso1.exon2.amp1_987,1
PF3D7_0221200.2o2_2628,1
PF3D7_0221000.2o2_3940,1
PF3D7_0220600.2o2_2632,1
PF3D7_0220500.2o2_1346,1
PF3D7_0220300.2o2_368,1
PF3D7_0220000.e2s1_2785,1
PF3D7_0219700.2o2_1682,1
PF3D7_0207000.e1_2796,1
PF3D7_0207000.2o2_2000,1
PF3D7_0207000.1o2_2324,1
PF3D7_0206900.1.e1_4416,1
PF3D7_0206900.1.1o2_50,1
PF3D7_0202500.1o1_2941,1
PF3D7_0202300.2o2_4268,1
PF3D7_0201600.2o2_1061,1
PF3D7_0201500.2o2_1014,1
PF3D7_0201400.2o2_4888,1
PF3D7_0200800.iso1.exon3.amp1_406,1
PF3D7_0200100 (renamed)_1601,1
PF3D7_0115700.iso1.exon1.amp1_1583,1
PF3D7_0115000.e1s1_2516,1
PF3D7_0114800.2o2_362,1
PF3D7_0113900.2o2_1013,1
PF3D7_0113400.2o2_4618,1
PF3D7_0113300.2o2_759,1
PF3D7_0112800.2o2_691,1
PF3D7_0108300.s2_2791,1
PF13_0201_3400,1
PF13_0197_176,1
PF11_0344_1786,1
